iter	Passed	Remaining
0	8	4135
1	15	3856
2	19	3265
3	26	3314
4	33	3290
5	39	3223
6	47	3366
7	54	3367
8	61	3331
9	66	3279
10	71	3176
11	78	3185
12	82	3103
13	89	3097
14	96	3123
15	102	3098
16	106	3034
17	111	2982
18	114	2901
19	118	2839
20	123	2810
21	127	2770
22	133	2764
23	138	2741
24	143	2717
25	148	2703
26	153	2691
27	159	2681
28	165	2681
29	172	2708
30	182	2757
31	190	2788
32	196	2786
33	205	2817
34	214	2854
35	222	2870
36	229	2876
37	237	2892
38	242	2868
39	250	2885
40	255	2861
41	259	2831
42	262	2786
43	265	2747
44	270	2740
45	276	2725
46	279	2697
47	287	2703
48	293	2697
49	298	2685
50	303	2673
51	309	2668
52	314	2651
53	319	2639
54	324	2622
55	326	2586
56	333	2593
57	337	2572
58	342	2563
59	348	2556
60	354	2554
61	359	2542
62	363	2521
63	368	2512
64	373	2502
65	378	2489
66	384	2484
67	389	2472
68	395	2468
69	398	2446
70	403	2440
71	407	2422
72	413	2418
73	419	2414
74	425	2409
75	427	2382
76	431	2372
77	436	2360
78	441	2350
79	446	2342
80	451	2334
81	455	2322
82	460	2312
83	465	2307
84	468	2288
85	471	2269
86	476	2260
87	480	2251
88	485	2242
89	487	2222
90	493	2218
91	500	2219
92	507	2219
93	511	2211
94	518	2210
95	522	2200
96	528	2196
97	533	2188
98	539	2184
99	543	2172
100	547	2163
101	552	2156
102	557	2150
103	563	2143
104	569	2142
105	574	2136
106	580	2130
107	584	2122
108	592	2126
109	601	2133
110	607	2129
111	612	2122
112	618	2119
113	624	2114
114	631	2113
115	639	2116
116	648	2123
117	655	2120
118	660	2115
119	667	2114
120	673	2109
121	679	2104
122	684	2098
123	689	2089
124	694	2084
125	699	2077
126	705	2071
127	712	2069
128	719	2069
129	724	2063
130	730	2056
131	735	2050
132	741	2046
133	747	2040
134	751	2030
135	756	2025
136	762	2021
137	768	2015
138	774	2010
139	779	2004
140	785	1998
141	791	1995
142	796	1988
143	802	1983
144	807	1977
145	813	1972
146	818	1965
147	824	1961
148	830	1957
149	837	1954
150	843	1948
151	849	1945
152	854	1936
153	860	1932
154	865	1927
155	870	1919
156	876	1915
157	881	1908
158	886	1901
159	892	1897
160	897	1890
161	903	1885
162	909	1879
163	914	1874
164	919	1866
165	924	1860
166	929	1854
167	935	1848
168	942	1845
169	947	1839
170	952	1833
171	957	1825
172	961	1818
173	966	1811
174	972	1805
175	978	1801
176	983	1794
177	989	1789
178	995	1785
179	1001	1780
180	1006	1774
181	1012	1768
182	1017	1762
183	1022	1755
184	1027	1749
185	1032	1743
186	1037	1736
187	1042	1730
188	1047	1723
189	1052	1717
190	1058	1711
191	1062	1704
192	1067	1698
193	1073	1693
194	1078	1686
195	1083	1680
196	1088	1674
197	1094	1668
198	1098	1662
199	1104	1657
200	1109	1650
201	1115	1645
202	1122	1642
203	1127	1636
204	1133	1630
205	1138	1624
206	1143	1618
207	1150	1615
208	1158	1612
209	1163	1606
210	1169	1601
211	1183	1608
212	1191	1606
213	1234	1649
214	1242	1647
215	1250	1643
216	1257	1640
217	1263	1634
218	1268	1627
219	1273	1620
220	1277	1612
221	1282	1605
222	1287	1599
223	1292	1592
224	1297	1585
225	1302	1578
226	1307	1572
227	1314	1568
228	1320	1562
229	1326	1557
230	1331	1550
231	1337	1544
232	1342	1538
233	1348	1532
234	1353	1526
235	1360	1521
236	1365	1515
237	1371	1509
238	1377	1504
239	1381	1496
240	1388	1491
241	1393	1485
242	1398	1479
243	1403	1472
244	1409	1466
245	1415	1461
246	1420	1454
247	1426	1449
248	1430	1441
249	1435	1435
250	1441	1429
251	1445	1422
252	1450	1416
253	1456	1410
254	1460	1403
255	1465	1397
256	1470	1390
257	1477	1385
258	1483	1380
259	1488	1373
260	1494	1368
261	1500	1363
262	1505	1356
263	1511	1350
264	1517	1345
265	1521	1338
266	1527	1332
267	1532	1326
268	1536	1319
269	1541	1313
270	1546	1306
271	1551	1300
272	1557	1295
273	1562	1288
274	1567	1282
275	1572	1276
276	1578	1270
277	1583	1264
278	1591	1260
279	1599	1256
280	1606	1252
281	1612	1246
282	1617	1240
283	1623	1234
284	1631	1230
285	1638	1226
286	1645	1221
287	1652	1216
288	1659	1211
289	1664	1205
290	1670	1199
291	1675	1193
292	1682	1188
293	1688	1182
294	1693	1176
295	1698	1170
296	1703	1164
297	1707	1157
298	1713	1151
299	1719	1146
300	1723	1139
301	1728	1133
302	1733	1127
303	1739	1121
304	1745	1116
305	1751	1110
306	1757	1104
307	1762	1098
308	1768	1093
309	1774	1087
310	1779	1081
311	1784	1075
312	1789	1069
313	1794	1063
314	1799	1057
315	1804	1050
316	1810	1044
317	1815	1039
318	1820	1032
319	1826	1027
320	1833	1022
321	1839	1016
322	1844	1010
323	1850	1005
324	1856	999
325	1861	993
326	1867	987
327	1872	981
328	1877	975
329	1882	969
330	1888	964
331	1893	958
332	1898	952
333	1903	945
334	1909	940
335	1914	934
336	1918	928
337	1923	921
338	1929	916
339	1934	910
340	1940	904
341	1945	898
342	1952	893
343	1958	888
344	1962	881
345	1967	875
346	1972	869
347	1977	863
348	1983	858
349	1988	852
350	1993	846
351	1998	840
352	2004	834
353	2009	828
354	2015	823
355	2021	817
356	2026	811
357	2031	805
358	2036	799
359	2040	793
360	2045	787
361	2050	781
362	2055	775
363	2061	770
364	2065	764
365	2071	758
366	2076	752
367	2081	746
368	2086	740
369	2091	734
370	2096	728
371	2102	723
372	2107	717
373	2113	711
374	2117	705
375	2122	699
376	2128	694
377	2133	688
378	2138	682
379	2143	676
380	2148	670
381	2153	665
382	2159	659
383	2164	653
384	2169	648
385	2186	645
386	2196	641
387	2201	635
388	2205	629
389	2211	623
390	2217	618
391	2222	612
392	2228	606
393	2231	600
394	2237	594
395	2242	588
396	2247	583
397	2252	577
398	2257	571
399	2263	565
400	2267	559
401	2270	553
402	2275	547
403	2281	542
404	2286	536
405	2291	530
406	2297	524
407	2302	519
408	2308	513
409	2313	507
410	2318	501
411	2323	496
412	2328	490
413	2333	484
414	2339	479
415	2345	473
416	2349	467
417	2355	462
418	2362	456
419	2369	451
420	2374	445
421	2379	439
422	2384	434
423	2391	428
424	2396	422
425	2402	417
426	2407	411
427	2412	405
428	2418	400
429	2424	394
430	2429	388
431	2433	383
432	2438	377
433	2444	371
434	2448	365
435	2455	360
436	2460	354
437	2465	348
438	2470	343
439	2475	337
440	2480	331
441	2486	326
442	2491	320
443	2497	314
444	2502	309
445	2508	303
446	2513	298
447	2519	292
448	2524	286
449	2529	281
450	2535	275
451	2540	269
452	2546	264
453	2551	258
454	2556	252
455	2562	247
456	2565	241
457	2571	235
458	2575	230
459	2580	224
460	2584	218
461	2592	213
462	2601	207
463	2610	202
464	2617	197
465	2624	191
466	2630	185
467	2636	180
468	2643	174
469	2648	169
470	2653	163
471	2658	157
472	2663	152
473	2670	146
474	2675	140
475	2679	135
476	2685	129
477	2690	123
478	2695	118
479	2701	112
480	2706	106
481	2712	101
482	2718	95
483	2722	90
484	2728	84
485	2732	78
486	2737	73
487	2742	67
488	2747	61
489	2753	56
490	2757	50
491	2761	44
492	2767	39
493	2773	33
494	2779	28
495	2783	22
496	2788	16
497	2794	11
498	2800	5
499	2805	0
