iter	Logloss
0	0.6307893109
1	0.583460657
2	0.5518393483
3	0.5218663768
4	0.4984089925
5	0.4829486575
6	0.4694142516
7	0.4577348516
8	0.4491381131
9	0.4411343119
10	0.4369949
11	0.4317092054
12	0.4279632097
13	0.4245014394
14	0.4220852313
15	0.4202538081
16	0.4169257937
17	0.4150260776
18	0.413953046
19	0.412282941
20	0.4095444492
21	0.4079433676
22	0.4067496408
23	0.4054087306
24	0.4042298704
25	0.4029689797
26	0.4027764288
27	0.4012636233
28	0.4004155648
29	0.3992320329
30	0.399126708
31	0.3983893279
32	0.3970293787
33	0.3961093523
34	0.3947344411
35	0.3943461275
36	0.3941998604
37	0.3938115115
38	0.3931030329
39	0.3925492964
40	0.3924030404
41	0.3922930464
42	0.3921873051
43	0.3918939662
44	0.3916215153
45	0.3911686319
46	0.3911592754
47	0.3906069161
48	0.390184783
49	0.3892193131
50	0.3889551765
51	0.3886935042
52	0.3885678635
53	0.3885205804
54	0.3882130418
55	0.3882002684
56	0.387696891
57	0.3874285873
58	0.3871583735
59	0.3871062312
60	0.386433212
61	0.3863403408
62	0.386260099
63	0.3862452152
64	0.3860456194
65	0.3855618214
66	0.3854119872
67	0.3849054472
68	0.3841669723
69	0.3841584715
70	0.3833441443
71	0.3833401512
72	0.3831781758
73	0.3824201918
74	0.3822425442
75	0.3822425296
76	0.3817617272
77	0.3816099205
78	0.381169662
79	0.3810359093
80	0.3804437705
81	0.3795550878
82	0.3787235335
83	0.3780862276
84	0.3779056122
85	0.3779055599
86	0.3774912301
87	0.376689571
88	0.3764136771
89	0.3764102496
90	0.3761786835
91	0.3756654002
92	0.3745799838
93	0.3739054585
94	0.3736129474
95	0.3735310869
96	0.3728532901
97	0.3721863199
98	0.3720182716
99	0.3716997392
100	0.3712662997
101	0.3709672404
102	0.3705140506
103	0.3700665036
104	0.3697673629
105	0.3691754247
106	0.368565059
107	0.3676876201
108	0.3665242964
109	0.3655667044
110	0.3651611409
111	0.3645987802
112	0.3642592498
113	0.36400457
114	0.363858992
115	0.3630718588
116	0.3623692764
117	0.362123885
118	0.3617307139
119	0.3613659596
120	0.3608398656
121	0.3605497103
122	0.3599758593
123	0.358972644
124	0.3582974644
125	0.3574331472
126	0.3566387112
127	0.3557580314
128	0.3554563071
129	0.3553211633
130	0.3546687138
131	0.3541442413
132	0.3532136742
133	0.3525267553
134	0.3521265252
135	0.351851179
136	0.3513940254
137	0.3513461521
138	0.3510639606
139	0.3505272518
140	0.3502151332
141	0.3501157731
142	0.3497364954
143	0.3495656541
144	0.3489302068
145	0.3484748557
146	0.3472564494
147	0.3469039135
148	0.3463486151
149	0.345941568
150	0.3457724514
151	0.3453261555
152	0.3449659834
153	0.344715344
154	0.3446111266
155	0.3443865224
156	0.3434983098
157	0.3434059422
158	0.3426759059
159	0.3422659138
160	0.3421659003
161	0.3418222126
162	0.3414300671
163	0.3407515576
164	0.3403491078
165	0.3400864928
166	0.3397978454
167	0.3392809993
168	0.3389644459
169	0.3387980097
170	0.338699361
171	0.3384094702
172	0.3382285524
173	0.3378874722
174	0.3377146198
175	0.3369358656
176	0.3368178645
177	0.3364962931
178	0.3362044572
179	0.3359051398
180	0.335760581
181	0.3354166346
182	0.3351486794
183	0.3349706325
184	0.3344174986
185	0.3342331886
186	0.3339764319
187	0.3335569818
188	0.3329672707
189	0.3327152327
190	0.332168162
191	0.3314432658
192	0.3312710585
193	0.3308826058
194	0.3300035893
195	0.3293276826
196	0.3290507186
197	0.3279993524
198	0.3275778444
199	0.3272051095
200	0.3267054906
201	0.3266951012
202	0.3264309345
203	0.3261240767
204	0.3257050757
205	0.3252516385
206	0.3245887466
207	0.3242521804
208	0.3235803636
209	0.3228914957
210	0.3223944851
211	0.3220792455
212	0.3216109021
213	0.3209808392
214	0.3206962482
215	0.3201062298
216	0.3199181865
217	0.3196403442
218	0.3195510776
219	0.319326043
220	0.3191722968
221	0.3190111014
222	0.3188184179
223	0.318005118
224	0.3179199234
225	0.3176189939
226	0.3174490945
227	0.3173474378
228	0.3169678105
229	0.3166995744
230	0.3161595701
231	0.3156588042
232	0.3151169271
233	0.3149915264
234	0.3143486228
235	0.3141365345
236	0.3136809242
237	0.3129834088
238	0.3127171256
239	0.3125303646
240	0.311751838
241	0.3114748767
242	0.3111239002
243	0.3104994771
244	0.3104319987
245	0.3102616686
246	0.3098493215
247	0.3096194635
248	0.3094974174
249	0.3087790149
250	0.308219581
251	0.3074783789
252	0.3069251268
253	0.3060321844
254	0.3058133223
255	0.3053675899
256	0.3050360253
257	0.3048149518
258	0.3043579699
259	0.3039578868
260	0.3034525618
261	0.303155666
262	0.3024922619
263	0.3021449086
264	0.3017404915
265	0.3009330127
266	0.3007725514
267	0.300704439
268	0.3004640152
269	0.3002515972
270	0.2997684071
271	0.2996159104
272	0.2995090415
273	0.2993908473
274	0.2992036328
275	0.2989355648
276	0.2982231122
277	0.2981471894
278	0.2978696861
279	0.2977343074
280	0.2971957658
281	0.2969191499
282	0.2966137679
283	0.2960541069
284	0.2955776751
285	0.2951323741
286	0.2948663848
287	0.2944266788
288	0.2941437288
289	0.2934854844
290	0.2932142618
291	0.2926767406
292	0.2924593699
293	0.2923436295
294	0.2921024887
295	0.2917338887
296	0.2910638628
297	0.2909694546
298	0.2908242376
299	0.2903509936
300	0.2897784671
301	0.2896080586
302	0.2895045085
303	0.2888244175
304	0.2883375898
305	0.2874676453
306	0.2872469915
307	0.2869424516
308	0.2866184589
309	0.2863622085
310	0.286186316
311	0.2858799342
312	0.2854393445
313	0.2853778617
314	0.284997259
315	0.2847604613
316	0.2841620459
317	0.283837486
318	0.2833101725
319	0.2828716733
320	0.2825580543
321	0.2821418649
322	0.2819070523
323	0.2815007162
324	0.2813364834
325	0.2808787653
326	0.2806161252
327	0.2803555701
328	0.279840897
329	0.2794644814
330	0.2793965386
331	0.2789441452
332	0.278581166
333	0.2781225897
334	0.2779469883
335	0.2775580244
336	0.2771632264
337	0.2768642272
338	0.2766176392
339	0.2760801846
340	0.2759027935
341	0.2756745722
342	0.2749193186
343	0.2747095814
344	0.2744891088
345	0.2741002914
346	0.2737767118
347	0.2737035256
348	0.2735366618
349	0.2732422254
350	0.2731741872
351	0.2730760437
352	0.2727780551
353	0.2723444065
354	0.2722107604
355	0.2715820936
356	0.2710273117
357	0.2709008898
358	0.2707619872
359	0.2705514653
360	0.2703920109
361	0.2701300237
362	0.2701096651
363	0.2700388177
364	0.2697421013
365	0.2696045182
366	0.2693951457
367	0.2688392035
368	0.2686168288
369	0.2681067058
370	0.2677116542
371	0.2675974429
372	0.2670863421
373	0.2668854901
374	0.2667116193
375	0.2661313812
376	0.265862524
377	0.2653342643
378	0.2651798364
379	0.2645864799
380	0.2642604105
381	0.2637607773
382	0.2635982707
383	0.2634192944
384	0.2631217123
385	0.2627238089
386	0.2626396951
387	0.262354199
388	0.2621767751
389	0.2618779129
390	0.2613576385
391	0.2610561449
392	0.2609144859
393	0.2607945897
394	0.2605367123
395	0.2604144331
396	0.2603973666
397	0.2599863871
398	0.259833
399	0.2594425984
400	0.2593781198
401	0.2591757236
402	0.2587368594
403	0.2583828075
404	0.2580356898
405	0.2580122687
406	0.2577200498
407	0.2571877551
408	0.2569729193
409	0.256881627
410	0.2564486157
411	0.2561909707
412	0.2557703737
413	0.2554174812
414	0.2552577629
415	0.2548173624
416	0.2546887132
417	0.2544747325
418	0.2541852445
419	0.2539236082
420	0.253284829
421	0.2531204925
422	0.2528432918
423	0.2525810768
424	0.2523587775
425	0.2522264757
426	0.2520049092
427	0.2517457449
428	0.2514334149
429	0.2510017012
430	0.2507318322
431	0.2506494855
432	0.2504691382
433	0.2504127254
434	0.2502394031
435	0.2501345235
436	0.2495868574
437	0.249420752
438	0.2490440413
439	0.2488620364
440	0.2488052618
441	0.2487523758
442	0.2484765864
443	0.2481399176
444	0.248089108
445	0.2480100911
446	0.2478097387
447	0.2474346917
448	0.2472671455
449	0.2471280495
450	0.246662672
451	0.2464261738
452	0.2462642407
453	0.2460703848
454	0.2456859535
455	0.2454019747
456	0.2451558197
457	0.244904252
458	0.2445058403
459	0.2440933637
460	0.2437455104
461	0.2434336404
462	0.2432680105
463	0.243088822
464	0.2427545478
465	0.2424890001
466	0.2424818813
467	0.2422372999
468	0.2421538094
469	0.2417560723
470	0.2413681953
471	0.2411848871
472	0.2407789209
473	0.2402890461
474	0.239926281
475	0.2398538299
476	0.2395509388
477	0.2395075406
478	0.2389941835
479	0.2388230139
480	0.2387701491
481	0.2385222742
482	0.2383852678
483	0.2381412231
484	0.2380012435
485	0.2377017447
486	0.2376838155
487	0.23738435
488	0.2370920966
489	0.2367206355
490	0.2364658349
491	0.2362126703
492	0.2358753432
493	0.2356157059
494	0.2353159414
495	0.2351260522
496	0.2349450825
497	0.2348297081
498	0.2345527779
499	0.2344621852
