iter	Passed	Remaining
0	7	3923
1	13	3324
2	18	3016
3	24	3017
4	30	3006
5	35	2918
6	41	2893
7	46	2877
8	51	2782
9	56	2744
10	63	2808
11	70	2854
12	75	2839
13	81	2816
14	88	2870
15	94	2856
16	103	2948
17	108	2897
18	114	2886
19	121	2923
20	126	2895
21	134	2919
22	139	2895
23	146	2907
24	154	2926
25	159	2906
26	167	2938
27	174	2934
28	183	2977
29	190	2984
30	203	3079
31	210	3071
32	218	3085
33	224	3076
34	233	3097
35	238	3077
36	245	3076
37	252	3071
38	257	3041
39	261	3004
40	268	3001
41	272	2975
42	280	2979
43	287	2980
44	295	2989
45	303	2997
46	309	2984
47	316	2980
48	323	2979
49	330	2978
50	335	2957
51	342	2946
52	350	2953
53	354	2926
54	361	2921
55	366	2903
56	371	2889
57	379	2890
58	388	2901
59	399	2931
60	404	2910
61	411	2907
62	417	2895
63	422	2878
64	430	2880
65	432	2847
66	436	2823
67	444	2825
68	449	2804
69	454	2792
70	462	2792
71	467	2778
72	474	2774
73	489	2818
74	500	2834
75	507	2829
76	515	2830
77	519	2810
78	525	2802
79	532	2793
80	538	2785
81	545	2778
82	552	2774
83	560	2774
84	565	2762
85	572	2755
86	580	2755
87	586	2747
88	596	2752
89	599	2730
90	609	2740
91	616	2736
92	624	2733
93	631	2727
94	637	2718
95	645	2714
96	651	2704
97	658	2699
98	666	2700
99	674	2699
100	681	2692
101	688	2688
102	696	2683
103	701	2671
104	709	2668
105	715	2657
106	722	2651
107	729	2646
108	734	2635
109	743	2636
110	749	2626
111	757	2623
112	762	2610
113	769	2605
114	778	2605
115	786	2602
116	793	2597
117	798	2584
118	805	2580
119	811	2570
120	820	2570
121	827	2564
122	833	2556
123	841	2550
124	846	2539
125	854	2536
126	861	2529
127	869	2526
128	877	2522
129	884	2516
130	893	2516
131	899	2508
132	909	2509
133	914	2497
134	923	2496
135	928	2484
136	936	2481
137	942	2473
138	948	2462
139	956	2459
140	963	2452
141	970	2447
142	976	2438
143	984	2433
144	991	2426
145	996	2415
146	1004	2411
147	1009	2401
148	1017	2395
149	1024	2389
150	1029	2378
151	1037	2374
152	1043	2366
153	1051	2361
154	1058	2355
155	1066	2351
156	1073	2345
157	1079	2336
158	1088	2334
159	1094	2326
160	1102	2321
161	1108	2312
162	1115	2306
163	1122	2299
164	1128	2290
165	1136	2286
166	1141	2275
167	1147	2267
168	1152	2257
169	1159	2250
170	1166	2243
171	1172	2235
172	1178	2228
173	1184	2219
174	1202	2233
175	1210	2227
176	1217	2222
177	1225	2217
178	1233	2212
179	1241	2207
180	1250	2203
181	1257	2197
182	1268	2198
183	1277	2194
184	1289	2194
185	1296	2188
186	1303	2181
187	1308	2171
188	1315	2165
189	1322	2157
190	1330	2151
191	1337	2144
192	1343	2136
193	1350	2130
194	1356	2120
195	1365	2117
196	1371	2109
197	1378	2103
198	1386	2096
199	1393	2089
200	1400	2083
201	1406	2075
202	1413	2068
203	1420	2061
204	1426	2053
205	1433	2046
206	1439	2037
207	1446	2030
208	1452	2022
209	1461	2018
210	1467	2010
211	1482	2013
212	1490	2008
213	1499	2003
214	1506	1997
215	1516	1993
216	1522	1984
217	1529	1978
218	1534	1969
219	1542	1963
220	1549	1956
221	1554	1946
222	1559	1937
223	1566	1930
224	1572	1922
