iter	Logloss
0	0.6300244249
1	0.5827027436
2	0.5540701194
3	0.5229489114
4	0.5011096586
5	0.4853722755
6	0.4729986879
7	0.4618035325
8	0.4530907787
9	0.4457368436
10	0.4382924014
11	0.4323707366
12	0.4282199107
13	0.4251321091
14	0.42159174
15	0.4189951808
16	0.4157031827
17	0.4132794525
18	0.4112702215
19	0.4096391652
20	0.4083878459
21	0.4071937537
22	0.4052898528
23	0.4036651929
24	0.4027937357
25	0.4011269756
26	0.4005565743
27	0.4003529315
28	0.3997674882
29	0.398768785
30	0.3978343553
31	0.3975312145
32	0.3964892077
33	0.3954088745
34	0.3945134073
35	0.3940014576
36	0.3937666508
37	0.3932490136
38	0.3929395632
39	0.3928273254
40	0.3926142015
41	0.3919983495
42	0.3909574587
43	0.3906229155
44	0.3901825705
45	0.3899199748
46	0.389119988
47	0.3881275393
48	0.3878572306
49	0.3876901594
50	0.387684315
51	0.3874389248
52	0.3866966343
53	0.3866417591
54	0.3864006923
55	0.3863987426
56	0.3858723898
57	0.385542113
58	0.3851319562
59	0.3850948375
60	0.3843492856
61	0.3839851369
62	0.3835991279
63	0.3832788319
64	0.3828460031
65	0.3828459281
66	0.3828206987
67	0.3827575816
68	0.3826364933
69	0.3820510764
70	0.381511518
71	0.3812876671
72	0.3809654062
73	0.380266129
74	0.3800123635
75	0.3797820363
76	0.379522516
77	0.3790736797
78	0.378117226
79	0.3778646477
80	0.3764695029
81	0.3762914332
82	0.3755212591
83	0.3748549732
84	0.3743218727
85	0.3737633733
86	0.3730159875
87	0.3725891437
88	0.3722072592
89	0.3722044905
90	0.3719346822
91	0.371167603
92	0.3707145903
93	0.3704316204
94	0.3699098184
95	0.3694393874
96	0.3692337685
97	0.3685580089
98	0.3684108708
99	0.3678645169
100	0.3677127835
101	0.367523319
102	0.3672607836
103	0.3667702945
104	0.3666265008
105	0.3662150771
106	0.366072837
107	0.3653224149
108	0.3648156859
109	0.3646452734
110	0.3642878913
111	0.3636492315
112	0.3629495319
113	0.3626288668
114	0.3623841065
115	0.3621043853
116	0.3611160758
117	0.3609744705
118	0.3602605267
119	0.3598311479
120	0.3593468473
121	0.3592671266
122	0.3584763896
123	0.3578237564
124	0.3575335158
125	0.3565758788
126	0.3563339246
127	0.3558851402
128	0.3557260451
129	0.3554321546
130	0.3551536214
131	0.3544519388
132	0.3540312426
133	0.3533570973
134	0.3529201128
135	0.3523619685
136	0.3517416701
137	0.3514908756
138	0.3514596743
139	0.3511098603
140	0.350772776
141	0.3505784887
142	0.350413441
143	0.350208398
144	0.3500406272
145	0.3497272886
146	0.3495939404
147	0.3492736446
148	0.348886996
149	0.3486802326
150	0.3479142771
151	0.3471221925
152	0.3467204137
153	0.3465427418
154	0.346429994
155	0.3453756384
156	0.3451431994
157	0.3449928574
158	0.3444866428
159	0.3439466462
160	0.3436681071
161	0.3430832876
162	0.3420782198
163	0.341786221
164	0.3409053707
165	0.3406753899
166	0.3400736148
167	0.3398130335
168	0.3393828006
169	0.3389996807
170	0.33863926
171	0.3375098995
172	0.3367843041
173	0.3362340922
174	0.3357851476
175	0.335420876
176	0.3353116072
177	0.3346834133
178	0.3341155269
179	0.3339159857
180	0.3337416914
181	0.3334828211
182	0.3332275561
183	0.3325757807
184	0.3322607779
185	0.331862608
186	0.3312749538
187	0.3302686192
188	0.330091321
189	0.329564269
190	0.3290245957
191	0.328746019
192	0.3279789122
193	0.3277531182
194	0.3275631333
195	0.3272571982
196	0.3268025533
197	0.3265720215
198	0.3264036166
199	0.3259277156
200	0.3251836553
201	0.3250322881
202	0.3247308135
203	0.3244714129
204	0.3241102285
205	0.3235659148
206	0.32328773
207	0.322113748
208	0.3216090727
209	0.320946566
210	0.3206178773
211	0.3197724836
212	0.3195978777
213	0.3194420284
214	0.3187208082
215	0.318462901
216	0.3183108377
217	0.3181964348
218	0.3176509101
219	0.3172919351
220	0.3165623087
221	0.3163588306
222	0.3160343256
223	0.3159043398
224	0.3156077512
225	0.3153708281
226	0.3151689417
227	0.3143251034
228	0.3141070848
229	0.3134274818
230	0.3131802475
231	0.3128179875
232	0.3123550776
233	0.3121865484
234	0.3121275825
235	0.3118802237
236	0.3111760639
237	0.3109959941
238	0.3108110083
239	0.3098527228
240	0.3095344975
241	0.30895181
242	0.3085873846
243	0.3081457644
244	0.3079962314
245	0.3077048423
246	0.3073465265
247	0.3069124981
248	0.3062789208
249	0.305979194
250	0.3058165439
251	0.3051965402
252	0.3049660163
253	0.3045657974
254	0.3039938211
255	0.3038618516
256	0.3031910865
257	0.302872912
258	0.3023166894
259	0.3020454059
260	0.3018974012
261	0.3014864787
262	0.3010411727
263	0.3009375689
264	0.3004528444
265	0.2997571575
266	0.2993750141
267	0.2988490303
268	0.2986173726
269	0.2980569727
270	0.2976986031
271	0.2974849898
272	0.2971985757
273	0.2969436523
274	0.2963506044
275	0.2958488116
276	0.2956598934
277	0.2955663175
278	0.2952767014
279	0.2948085661
280	0.2943431181
281	0.2937186742
282	0.2929995258
283	0.2928792081
284	0.292486365
285	0.2924540818
286	0.2919837284
287	0.2914443694
288	0.2913426913
289	0.2907855324
290	0.2905100197
291	0.2899912229
292	0.2895422782
293	0.2892556628
294	0.2886722186
295	0.2884571455
296	0.2879796263
297	0.2876620061
298	0.287268224
299	0.2868802318
300	0.2861549403
301	0.2856754269
302	0.2852694074
303	0.2850968503
304	0.2845037431
305	0.2841874078
306	0.2841567132
307	0.284049887
308	0.2837244298
309	0.2836672208
310	0.2835019106
311	0.2829084068
312	0.2827344419
313	0.2824453622
314	0.2823340527
315	0.281793574
316	0.2815032579
317	0.2808699983
318	0.2807920296
319	0.2805068388
320	0.279955208
321	0.2796975105
322	0.279265711
323	0.2791404743
324	0.2787094605
325	0.2782303362
326	0.2779893465
327	0.2773757737
328	0.2771093559
329	0.277097654
330	0.2767657821
331	0.2764992697
332	0.2762876085
333	0.2759940848
334	0.2756562709
335	0.2755138718
336	0.2754005017
337	0.2751050973
338	0.2748938676
339	0.2740079247
340	0.2736505744
341	0.2734225739
342	0.273117175
343	0.272564432
344	0.2723238978
345	0.2720850207
346	0.2719963797
347	0.2717212902
348	0.2716088458
349	0.2714507013
350	0.2710993164
351	0.2708664578
352	0.2702294545
353	0.2695673446
354	0.2692522639
355	0.2687992145
356	0.2685162958
357	0.2684912637
358	0.2682578079
359	0.26805174
360	0.2676022052
361	0.2673734134
362	0.2671627246
363	0.2666564462
364	0.2662811635
365	0.266138462
366	0.2659260172
367	0.2654752112
368	0.2651080086
369	0.2647956894
370	0.2644691907
371	0.2643655267
372	0.2642382583
373	0.2640805546
374	0.2638580252
375	0.2636885264
376	0.2635119495
377	0.2629087819
378	0.2625277741
379	0.2624826221
380	0.2622474864
381	0.2621453022
382	0.2619118822
383	0.261643389
384	0.2615310874
385	0.2614750231
386	0.2610021416
387	0.2608361864
388	0.2606314781
389	0.2603044039
390	0.2600830678
391	0.2598793739
392	0.2595952874
393	0.2592262087
394	0.2587784083
395	0.2584851315
396	0.2579734066
397	0.2575645625
398	0.2573468477
399	0.2572276445
400	0.2570651247
401	0.2566218729
402	0.2560318752
403	0.2559086374
404	0.2556691678
405	0.2551290857
406	0.2547594704
407	0.2544271162
408	0.2540154223
409	0.2538619439
410	0.2537470356
411	0.2534956779
412	0.2532667996
413	0.2530972197
414	0.2527948226
415	0.2523729557
416	0.2521662025
417	0.2518005504
418	0.2515994954
419	0.2515263914
420	0.2510382662
421	0.2509530745
422	0.250694387
423	0.2505222101
424	0.2500655203
425	0.2498080164
426	0.2496164757
427	0.2489301551
428	0.2486476158
429	0.2484305334
430	0.2481814431
431	0.2480062927
432	0.2478104335
433	0.2475036805
434	0.2473736613
435	0.246984981
436	0.2468051542
437	0.2466667223
438	0.2466376846
439	0.2464215521
440	0.2460318858
441	0.2459035468
442	0.2456023598
443	0.2455387522
444	0.2453630239
445	0.2449611298
446	0.2444014888
447	0.2443625433
448	0.2439086856
449	0.2437435469
450	0.2435298093
451	0.2433699504
452	0.2431713006
453	0.2430461082
454	0.2428689588
455	0.2426023008
456	0.242308779
457	0.2420337541
458	0.2417044583
459	0.2415157225
460	0.2414882826
461	0.2412433821
462	0.2409646557
463	0.2405826128
464	0.2403531679
465	0.2399103792
466	0.2397392859
467	0.2393830669
468	0.2391431215
469	0.2389936424
470	0.2389848
471	0.2387620937
472	0.2386774786
473	0.2382162524
474	0.238052599
475	0.2375633132
476	0.2374436997
477	0.2371956745
478	0.2368608013
479	0.2367577753
480	0.2366265429
481	0.2361452255
482	0.2359311425
483	0.2356809561
484	0.235487579
485	0.2353179191
486	0.235180389
487	0.2349858584
488	0.2346060663
489	0.2344937599
490	0.2344079616
491	0.2340335851
492	0.2339791841
493	0.2334835026
494	0.2333305114
495	0.2331467656
496	0.2329688054
497	0.2328906392
498	0.2326535442
499	0.2324620509
