iter	Logloss
0	0.6309409236
1	0.5847609883
2	0.5491120187
3	0.5250249382
4	0.5040735693
5	0.4862033408
6	0.4701914434
7	0.4579596738
8	0.4502235555
9	0.4433281552
10	0.4357697368
11	0.4294979887
12	0.4249370077
13	0.4205653487
14	0.4172910599
15	0.4134057693
16	0.4116511542
17	0.4102765437
18	0.4074968477
19	0.4057818075
20	0.4040386429
21	0.4022012111
22	0.4017793732
23	0.4001352629
24	0.3983086253
25	0.3966723006
26	0.3954661265
27	0.3947363022
28	0.3938473617
29	0.392619775
30	0.3919973457
31	0.391091672
32	0.3900444943
33	0.389911264
34	0.3890084751
35	0.3885750403
36	0.3877896367
37	0.3873333372
38	0.3869457095
39	0.3865671251
40	0.3862178564
41	0.3855252351
42	0.3840326151
43	0.3831610144
44	0.3821673161
45	0.381468097
46	0.3803289591
47	0.3802083671
48	0.3799896351
49	0.3797142099
50	0.3795013136
51	0.3793012131
52	0.3790731903
53	0.3785280613
54	0.3782062558
55	0.3781723023
56	0.3774749727
57	0.3773814
58	0.3770222276
59	0.3769538673
60	0.3768009782
61	0.3766950772
62	0.3752801933
63	0.3743663532
64	0.3736481096
65	0.3735151431
66	0.3732390305
67	0.3725377582
68	0.3722260171
69	0.3713234267
70	0.3713004385
71	0.3711476701
72	0.370544272
73	0.3704951124
74	0.3704360418
75	0.3703706755
76	0.3696453377
77	0.369644411
78	0.369571158
79	0.3693385426
80	0.3684904662
81	0.3681135224
82	0.3680884812
83	0.3678198246
84	0.3667647511
85	0.3660747548
86	0.3655571897
87	0.3649707722
88	0.3642537233
89	0.3632857341
90	0.3632501195
91	0.3629261685
92	0.3625015289
93	0.3618597554
94	0.3612300699
95	0.3610538438
96	0.360462977
97	0.3599447887
98	0.3598503983
99	0.3597972505
100	0.359440492
101	0.3587241281
102	0.3583662355
103	0.3582209746
104	0.3579034626
105	0.3578366808
106	0.3577311459
107	0.357338113
108	0.3569825044
109	0.356967293
110	0.3569412412
111	0.3561303153
112	0.3551948088
113	0.3546437724
114	0.3543878284
115	0.3537393851
116	0.3525984457
117	0.3519791235
118	0.3514897576
119	0.3507426178
120	0.3499366222
121	0.3495837196
122	0.3484783986
123	0.3484705333
124	0.3481934366
125	0.3478461393
126	0.3472206707
127	0.3467708801
128	0.3460964775
129	0.3455216735
130	0.3450126444
131	0.3445256099
132	0.3434898129
133	0.343470672
134	0.3431146052
135	0.3425332358
136	0.3413548026
137	0.3410252788
138	0.3406864339
139	0.3398427504
140	0.3395408754
141	0.3387766981
142	0.3376623596
143	0.3368851722
144	0.3368003744
145	0.3364608123
146	0.335937849
147	0.3355063255
148	0.3348079668
149	0.3339339146
150	0.3335349342
151	0.3331864731
152	0.3327334362
153	0.3323757395
154	0.3317863607
155	0.3310040436
156	0.3306507434
157	0.3303575087
158	0.3302952007
159	0.3300124789
160	0.329780446
161	0.3295763719
162	0.3291133666
163	0.3287848452
164	0.3281941293
165	0.328054799
166	0.3276149842
167	0.3268736571
168	0.3268505343
169	0.3266415008
170	0.3261886297
171	0.3258479647
172	0.325414876
173	0.3246112636
174	0.3241972294
175	0.3239795739
176	0.3235547084
177	0.3230438508
178	0.32241334
179	0.3221634507
180	0.321646579
181	0.3212701422
182	0.3207849982
183	0.3207655134
184	0.3205877964
185	0.3201164659
186	0.3198988703
187	0.319705361
188	0.3192795924
189	0.3191797414
190	0.3189487519
191	0.3182046104
192	0.3179857583
193	0.3173292066
194	0.316892498
195	0.3163458151
196	0.3162633871
197	0.3156630946
198	0.3152794755
199	0.3151266357
200	0.3148204902
201	0.3143860892
202	0.3139660941
203	0.3136525044
204	0.3133761277
205	0.312426698
206	0.3117349858
207	0.3116059856
208	0.3111306737
209	0.3109776024
210	0.3105384478
211	0.3105062513
212	0.3101068697
213	0.3097474665
214	0.3091694444
215	0.3090163143
216	0.3089022892
217	0.3086604109
218	0.3080487744
219	0.3076848518
220	0.3075505834
221	0.3070159046
222	0.306744965
223	0.3065136521
224	0.3061523162
225	0.305205873
226	0.3050374418
227	0.3044269063
228	0.3043215359
229	0.303713166
230	0.3035338024
231	0.3031746919
232	0.3028512574
233	0.3025872664
234	0.3024732133
235	0.3019113734
236	0.3014987948
237	0.3012435951
238	0.3009195747
239	0.3003963746
240	0.3003257525
241	0.2999538904
242	0.2991609649
243	0.298921709
244	0.2985192627
245	0.2981682329
246	0.2980301148
247	0.2977388752
248	0.2976035346
249	0.2974141921
250	0.2972435899
251	0.2969738264
252	0.2966717012
253	0.2965968568
254	0.2963576189
255	0.2959379098
256	0.2951483258
257	0.2947735338
258	0.2947036851
259	0.2939680569
260	0.2938342105
261	0.2931839427
262	0.2924860515
263	0.2924291194
264	0.2917993437
265	0.2914284619
266	0.2912701408
267	0.2912075959
268	0.2906800109
269	0.2902434744
270	0.2899149954
271	0.2896187304
272	0.2895246301
273	0.2892036435
274	0.2890998475
275	0.2890840489
276	0.2885934549
277	0.2885044309
278	0.2881823287
279	0.2881600853
280	0.2877019218
281	0.2874708026
282	0.2868917761
283	0.2865067577
284	0.286218956
285	0.2859520276
286	0.2853291099
287	0.2852135763
288	0.2842718851
289	0.283832595
290	0.2833869238
291	0.2831901989
292	0.2827214645
293	0.2824489185
294	0.2822462665
295	0.2817601878
296	0.2815049083
297	0.2811452425
298	0.2806510909
299	0.2803605474
300	0.2801021577
301	0.2795969032
302	0.2795021666
303	0.2791894482
304	0.2789797901
305	0.2787917242
306	0.2786571736
307	0.2785492731
308	0.2782585906
309	0.2781105772
310	0.2777891152
311	0.277371592
312	0.2767439182
313	0.2765693278
314	0.2762171479
315	0.2756072717
316	0.2751959557
317	0.2747485211
318	0.2745546203
319	0.2742345761
320	0.2741493087
321	0.2738244495
322	0.2735409943
323	0.2732196931
324	0.272854724
325	0.2721660067
326	0.2720067387
327	0.2717400032
328	0.2715118855
329	0.2714622543
330	0.2713321825
331	0.2709467995
332	0.2705785342
333	0.270323482
334	0.2699305997
335	0.2697507401
336	0.2694277296
337	0.2693637292
338	0.2691597832
339	0.2686969216
340	0.2684954746
341	0.2680226264
342	0.267707613
343	0.2674242898
344	0.2667959725
345	0.2667221041
346	0.2665107416
347	0.2660803486
348	0.2659142111
349	0.2652585186
350	0.2651682668
351	0.2648595484
352	0.2642162899
353	0.2639148372
354	0.2638331516
355	0.2633761015
356	0.2629323086
357	0.262734753
358	0.2624327523
359	0.2620987764
360	0.2618196983
361	0.2615309183
362	0.2612862377
363	0.2610654432
364	0.2607323013
365	0.2601791159
366	0.2596028223
367	0.2594376098
368	0.2594154342
369	0.2592231096
370	0.2587382517
371	0.2584395889
372	0.2582300119
373	0.257893674
374	0.2576789962
375	0.2575390414
376	0.2572592343
377	0.2568313818
378	0.2564598525
379	0.2562981393
380	0.2560080609
381	0.2556863512
382	0.2555200916
383	0.2551372825
384	0.2549874274
385	0.2548742873
386	0.2546306268
387	0.2544603367
388	0.2540931449
389	0.2539891257
390	0.2538223095
391	0.2537760281
392	0.2535095005
393	0.2533504132
394	0.2530543397
395	0.252758272
396	0.2527108907
397	0.2524121626
398	0.2519332618
399	0.2516648239
400	0.2514661337
401	0.2509874815
402	0.2506354857
403	0.2503890789
404	0.2500835868
405	0.2497497544
406	0.2493375762
407	0.2493176594
408	0.2491730848
409	0.2487252669
410	0.2483549725
411	0.2477828177
412	0.2476115666
413	0.2475004265
414	0.2469708435
415	0.2468363794
416	0.2465237418
417	0.246165139
418	0.2459633508
419	0.2457216594
420	0.2454949375
421	0.2449931815
422	0.2448702858
423	0.24465106
424	0.244334299
425	0.2440450047
426	0.2436548075
427	0.2436365227
428	0.243557539
429	0.2433792644
430	0.2429775423
431	0.2427923646
432	0.242661006
433	0.2425091334
434	0.2423820595
435	0.2422053761
436	0.2420604893
437	0.2414389714
438	0.2413137088
439	0.2412802237
440	0.2412287996
441	0.2410813877
442	0.240776305
443	0.2405017271
444	0.2401240002
445	0.2400393422
446	0.2398155266
447	0.2397339387
448	0.2392823172
449	0.239052577
450	0.2389474562
451	0.2389144118
452	0.2387451551
453	0.2384533397
454	0.2384372929
455	0.2383283034
456	0.2383011201
457	0.2380992315
458	0.2378705863
459	0.2374490078
460	0.2371846659
461	0.237137817
462	0.2369186828
463	0.2363780254
464	0.2360119614
465	0.23581008
466	0.2355790266
467	0.2352649845
468	0.2349237849
469	0.2346723042
470	0.2345374954
471	0.2341675821
472	0.2340636306
473	0.2338439481
474	0.2335190876
475	0.2332768085
476	0.2329031323
477	0.232485227
478	0.2322212309
479	0.2318989135
480	0.2315839432
481	0.2312507338
482	0.230875135
483	0.2306211288
484	0.2305568828
485	0.2299628707
486	0.2296849902
487	0.2295391916
488	0.2293788222
489	0.2291957544
490	0.22909688
491	0.2288715007
492	0.2288572496
493	0.2287123536
494	0.2284815848
495	0.2282801412
496	0.2281227474
497	0.2280384283
498	0.2277963526
499	0.2274971489
