iter	Passed	Remaining
0	4	2468
1	10	2643
2	14	2464
3	19	2438
4	22	2201
5	25	2137
6	31	2225
7	36	2259
8	40	2231
9	45	2236
10	50	2242
11	54	2218
12	59	2227
13	64	2254
14	69	2238
15	75	2289
16	80	2283
17	84	2261
18	89	2273
19	95	2297
20	101	2312
21	106	2304
22	109	2267
23	113	2258
24	118	2257
25	125	2281
26	130	2291
27	134	2266
28	140	2285
29	144	2270
30	149	2268
31	154	2266
32	160	2272
33	165	2262
34	169	2255
35	174	2248
36	181	2270
37	186	2267
38	194	2298
39	204	2352
40	215	2413
41	223	2439
42	231	2463
43	238	2476
44	246	2492
45	251	2485
46	259	2500
47	265	2502
48	273	2514
49	280	2528
50	286	2521
51	292	2518
52	299	2522
53	303	2506
54	310	2511
55	316	2510
56	325	2529
57	332	2531
58	339	2535
59	344	2525
60	355	2555
61	361	2551
62	382	2653
63	395	2694
64	403	2700
65	413	2716
66	419	2714
67	431	2738
68	440	2750
69	447	2745
70	452	2736
71	460	2734
72	467	2733
73	473	2728
74	479	2716
75	484	2705
76	493	2712
77	496	2686
78	502	2675
79	510	2678
80	516	2670
81	525	2676
82	528	2653
83	533	2642
84	540	2638
85	545	2626
86	552	2623
87	559	2620
88	564	2607
89	572	2609
90	578	2599
91	584	2590
92	591	2589
93	596	2574
94	605	2581
95	613	2582
96	623	2591
97	631	2590
98	640	2592
99	645	2581
100	653	2581
101	659	2573
102	666	2568
103	673	2565
104	679	2557
105	686	2550
106	690	2537
107	696	2527
108	703	2522
109	708	2511
110	712	2497
111	718	2488
112	723	2476
113	728	2467
114	733	2455
115	738	2444
116	744	2435
117	748	2422
118	753	2413
119	759	2405
120	764	2394
121	772	2392
122	777	2381
123	783	2375
124	793	2379
125	802	2381
126	847	2487
127	855	2485
128	861	2478
129	869	2474
130	877	2472
131	886	2472
132	892	2462
133	900	2460
134	909	2458
135	917	2454
136	923	2445
137	929	2437
138	937	2435
139	943	2426
140	952	2423
141	957	2414
142	964	2407
143	969	2397
144	975	2388
145	983	2384
146	989	2376
147	995	2367
148	1003	2363
149	1007	2351
150	1016	2349
151	1023	2344
152	1031	2338
153	1037	2330
154	1044	2324
155	1052	2320
156	1058	2312
157	1066	2308
158	1071	2298
159	1079	2293
160	1085	2286
161	1092	2279
162	1100	2274
163	1105	2265
164	1113	2261
165	1119	2252
166	1126	2245
167	1133	2240
168	1138	2230
169	1148	2230
170	1154	2221
171	1161	2214
172	1168	2208
173	1174	2201
174	1180	2192
175	1186	2184
176	1193	2177
177	1198	2168
178	1204	2159
179	1209	2150
180	1214	2141
181	1221	2133
182	1226	2125
183	1232	2117
184	1237	2107
185	1245	2102
186	1250	2092
187	1255	2083
188	1261	2076
189	1267	2067
190	1274	2061
191	1282	2057
192	1288	2049
193	1296	2044
194	1302	2037
195	1311	2033
196	1318	2027
197	1325	2021
198	1331	2014
199	1336	2004
200	1344	1999
201	1350	1992
202	1356	1984
203	1375	1995
204	1386	1994
205	1395	1992
206	1401	1984
207	1407	1975
208	1415	1970
209	1422	1964
210	1429	1958
211	1434	1949
212	1442	1943
213	1448	1936
214	1454	1928
215	1462	1923
216	1467	1913
217	1473	1905
218	1478	1896
219	1483	1888
220	1489	1880
221	1494	1871
222	1500	1863
223	1505	1854
224	1512	1848
225	1518	1841
226	1526	1836
227	1532	1827
228	1538	1820
229	1545	1813
230	1551	1806
231	1557	1798
232	1561	1789
233	1566	1781
234	1572	1772
235	1577	1764
236	1582	1756
237	1589	1749
238	1594	1741
239	1599	1733
240	1605	1724
241	1610	1716
242	1615	1708
243	1619	1699
244	1624	1690
245	1631	1684
246	1637	1676
247	1643	1669
248	1647	1660
249	1654	1654
250	1660	1646
251	1664	1638
252	1670	1630
253	1676	1623
254	1681	1615
255	1689	1609
256	1694	1602
257	1699	1593
258	1705	1586
259	1710	1579
260	1715	1570
261	1720	1563
262	1725	1554
263	1731	1547
264	1736	1540
265	1741	1532
266	1746	1524
267	1751	1516
268	1756	1508
269	1762	1500
270	1767	1493
271	1773	1486
272	1777	1478
273	1784	1472
274	1792	1466
275	1800	1460
276	1808	1456
277	1818	1452
278	1827	1447
279	1835	1442
280	1844	1437
281	1853	1432
282	1860	1426
283	1866	1419
284	1873	1413
285	1880	1407
286	1885	1399
287	1891	1392
288	1896	1384
289	1903	1378
290	1909	1371
291	1915	1364
292	1923	1358
293	1927	1350
294	1933	1343
295	1942	1338
296	1948	1331
297	1956	1326
298	1962	1319
299	1969	1312
300	1975	1306
301	1981	1298
302	1989	1293
303	1994	1285
304	2001	1279
305	2007	1272
306	2013	1266
307	2024	1261
308	2031	1255
309	2038	1249
310	2044	1242
311	2050	1235
312	2057	1229
313	2064	1222
314	2071	1216
315	2077	1209
316	2083	1202
317	2089	1196
318	2096	1189
319	2104	1183
320	2112	1177
321	2119	1171
322	2124	1164
323	2131	1157
324	2139	1151
325	2145	1145
326	2152	1138
327	2159	1132
328	2164	1125
329	2172	1119
330	2178	1112
331	2183	1105
332	2190	1098
333	2196	1091
334	2205	1086
335	2211	1079
336	2219	1073
337	2225	1066
338	2231	1059
339	2239	1053
340	2247	1047
341	2252	1040
342	2257	1033
343	2263	1026
344	2272	1021
345	2279	1014
346	2285	1007
347	2292	1001
348	2297	994
349	2304	987
350	2309	980
351	2316	973
352	2321	966
353	2329	960
354	2338	955
355	2345	948
356	2353	942
357	2361	936
358	2382	935
359	2392	930
360	2404	925
361	2413	920
362	2422	914
363	2432	908
364	2441	902
365	2448	896
366	2457	890
367	2464	884
368	2472	877
369	2479	871
370	2486	864
371	2495	858
372	2503	852
373	2515	847
374	2526	842
375	2533	835
376	2540	828
377	2549	822
378	2557	816
379	2564	809
380	2573	803
381	2582	797
382	2590	791
383	2595	784
384	2602	777
385	2611	771
386	2621	765
387	2640	762
388	2649	756
389	2660	750
390	2665	743
391	2672	736
392	2678	729
393	2685	722
394	2690	715
395	2696	708
396	2701	700
397	2710	694
398	2716	687
399	2724	681
400	2730	674
401	2739	667
402	2746	661
403	2753	654
404	2761	647
405	2769	641
406	2777	634
407	2787	628
408	2798	622
409	2809	616
410	2821	610
411	2830	604
412	2841	598
413	2846	591
414	2854	584
415	2863	578
416	2872	571
417	2880	565
418	2889	558
419	2897	551
420	2906	545
421	2912	538
422	2919	531
423	2928	524
424	2936	518
425	2943	511
426	2950	504
427	2960	498
428	2968	491
429	2975	484
430	2980	477
431	2989	470
432	2994	463
433	3006	457
434	3017	450
435	3027	444
436	3036	437
437	3046	431
438	3055	424
439	3062	417
440	3068	410
441	3072	403
442	3078	396
443	3082	388
444	3088	381
445	3093	374
446	3100	367
447	3107	360
448	3115	353
449	3124	347
450	3131	340
451	3146	334
452	3155	327
453	3164	320
454	3171	313
455	3179	306
456	3187	299
457	3196	293
458	3202	286
459	3215	279
460	3224	272
461	3231	265
462	3237	258
463	3248	252
464	3255	245
465	3265	238
466	3275	231
467	3283	224
468	3292	217
469	3297	210
470	3305	203
471	3315	196
472	3326	189
473	3334	182
474	3344	176
475	3351	169
476	3360	162
477	3381	155
478	3395	148
479	3407	141
480	3415	134
481	3421	127
482	3427	120
483	3433	113
484	3437	106
485	3443	99
486	3452	92
487	3460	85
488	3469	78
489	3475	70
490	3483	63
491	3493	56
492	3505	49
493	3513	42
494	3521	35
495	3529	28
496	3539	21
497	3546	14
498	3553	7
499	3561	0
