,accuracy,precision,recall,f1,roc_auc
Logistic Regression (no new feature),0.7867803837953091,0.6193548387096774,0.5133689839572193,0.5614035087719298,0.8320063570618779
Logistic Regression (with interaction feature),0.7889125799573561,0.6237942122186495,0.5187165775401069,0.5664233576642336,0.8320658898074763
