,accuracy,precision,recall,f1,roc_auc
Logistic Regression,0.7313432835820896,0.4965986394557823,0.7807486631016043,0.6070686070686071,0.8255483483545667
SVM,0.7491115849324804,0.5193370165745856,0.7540106951871658,0.6150490730643402,0.8234388184561865
Random Forest,0.7412935323383084,0.5093984962406015,0.7245989304812834,0.5982339955849889,0.8289908940783036
CatBoost,0.7292110874200426,0.49429037520391517,0.8101604278074866,0.6139817629179332,0.8398646794808745
