,accuracy,precision,recall,f1_score,roc_auc
Logistic Regression,0.7889125799573561,0.6245954692556634,0.516042780748663,0.5651537335285505,0.8317708144597273
CatBoost,0.8031272210376688,0.6579804560260586,0.5401069518716578,0.593245227606461,0.8404354173245467
