,accuracy,precision,recall,f1_score,roc_auc
Logistic Regression,0.7455579246624022,0.515748031496063,0.7005347593582888,0.5941043083900227,0.8156348520223016
Random Forest,0.7455579246624022,0.5150943396226415,0.7299465240641712,0.6039823008849557,0.82898054055733
Support Vector Machine,0.7356076759061834,0.5017064846416383,0.786096256684492,0.6125,0.8261643828524985
Gradient Boosting,0.7484008528784648,0.5181159420289855,0.7647058823529411,0.6177105831533477,0.8303316750443908
AdaBoost,0.7434257285003554,0.512241054613936,0.7272727272727273,0.6011049723756906,0.8260233161292326
Decision Tree,0.6837242359630419,0.45021037868162694,0.8582887700534759,0.5906163753449862,0.8064784569112341
K-Nearest Neighbors,0.7014925373134329,0.4638364779874214,0.7887700534759359,0.5841584158415841,0.8012939312836813
