,accuracy,precision,recall,f1_score,roc_auc
Logistic Regression,0.7455579246624022,0.515748031496063,0.7005347593582888,0.5941043083900227,0.8156348520223016
Random Forest,0.7455579246624022,0.5150943396226415,0.7299465240641712,0.6039823008849557,0.82898054055733
Gradient Boosting,0.7484008528784648,0.5181159420289855,0.7647058823529411,0.6177105831533477,0.8303316750443908
CatBoost,0.8038379530916845,0.6633333333333333,0.5320855614973262,0.5905044510385756,0.8415613627304306
