iter	Logloss
0	0.6314066741
1	0.5843068285
2	0.5516391568
3	0.5214441183
4	0.4990947339
5	0.4838219924
6	0.4701517764
7	0.4594774195
8	0.449278827
9	0.4414311202
10	0.4355239564
11	0.4307947905
12	0.4263001848
13	0.4219943165
14	0.418025468
15	0.4147477764
16	0.4115967445
17	0.4080115652
18	0.406464275
19	0.4039688041
20	0.4020213452
21	0.4007074371
22	0.3991841393
23	0.3983296681
24	0.3971827744
25	0.3959834633
26	0.3947083597
27	0.3930039096
28	0.3920459552
29	0.3913470305
30	0.3904826489
31	0.3894301527
32	0.3887506503
33	0.3877688757
34	0.3871203691
35	0.3866397687
36	0.3860488601
37	0.3852829142
38	0.3852427263
39	0.3851370938
40	0.38436894
41	0.3842187353
42	0.3834385384
43	0.3833624154
44	0.3828741868
45	0.3820481879
46	0.3819032076
47	0.3817700327
48	0.3815044872
49	0.3808972216
50	0.3804520338
51	0.380450916
52	0.3795658541
53	0.3789053024
54	0.3785719701
55	0.3785635162
56	0.3778070891
57	0.3778070606
58	0.377166654
59	0.3771666143
60	0.3768164515
61	0.3763778398
62	0.3758332796
63	0.3748286202
64	0.374523157
65	0.3738483888
66	0.3738157139
67	0.3733327452
68	0.3732861722
69	0.3731211261
70	0.372786539
71	0.3726736171
72	0.3722744634
73	0.3722635126
74	0.3720307836
75	0.3719532192
76	0.3716853733
77	0.3713408492
78	0.3708479559
79	0.3707861085
80	0.370340933
81	0.370276764
82	0.3699888236
83	0.3697009683
84	0.369641183
85	0.3691637344
86	0.368867214
87	0.3684095967
88	0.3681909801
89	0.367913193
90	0.3674075653
91	0.3666263728
92	0.3665267661
93	0.3661509706
94	0.3658031191
95	0.3655704677
96	0.3645591834
97	0.3644928558
98	0.3639841693
99	0.3634454274
100	0.3623281038
101	0.3613293507
102	0.3609804804
103	0.3607439607
104	0.3598967004
105	0.3589056295
106	0.3582949961
107	0.3580554765
108	0.3575203302
109	0.3567995766
110	0.355879664
111	0.3551310342
112	0.354067527
113	0.353966657
114	0.353676916
115	0.3535253735
116	0.3530184655
117	0.3527131442
118	0.352226299
119	0.3519761506
120	0.3516886512
121	0.350899195
122	0.3508219498
123	0.3498859532
124	0.3496471503
125	0.3494031809
126	0.3492179835
