iter	Passed	Remaining
0	9	4550
1	14	3496
2	20	3376
3	26	3252
4	31	3132
5	41	3433
6	50	3560
7	58	3584
8	64	3493
9	70	3449
10	79	3529
11	83	3410
12	91	3426
13	97	3375
14	103	3332
15	108	3286
16	113	3230
17	118	3181
18	123	3137
19	128	3087
20	134	3072
21	139	3027
22	145	3026
23	150	2993
24	155	2963
25	163	2973
26	170	2989
27	177	2986
28	181	2950
29	189	2963
30	201	3050
31	212	3105
32	225	3186
33	233	3200
34	244	3247
35	255	3292
36	265	3320
37	313	3809
38	320	3792
39	326	3758
40	331	3711
41	335	3655
42	343	3651
43	348	3616
44	356	3603
45	365	3605
46	374	3606
47	379	3574
48	387	3567
49	393	3543
50	398	3511
51	407	3512
52	413	3486
53	418	3453
54	424	3431
55	427	3389
56	435	3383
57	445	3392
58	452	3384
59	458	3358
60	460	3317
61	469	3315
62	474	3291
63	483	3296
64	490	3282
65	498	3276
66	503	3253
67	506	3218
68	511	3195
69	519	3193
70	525	3174
71	534	3180
72	541	3169
73	545	3140
74	552	3128
75	558	3118
76	566	3111
77	572	3096
78	578	3080
79	584	3067
80	591	3061
81	598	3051
82	605	3044
83	612	3034
84	619	3025
85	626	3017
86	635	3018
87	643	3014
88	653	3019
89	660	3007
90	667	3001
91	673	2986
92	680	2976
93	686	2965
94	694	2961
95	705	2969
96	716	2976
97	723	2966
98	730	2960
99	736	2945
100	741	2928
101	749	2924
102	755	2911
103	764	2912
104	770	2897
105	776	2885
106	784	2880
107	790	2870
108	799	2869
109	822	2917
110	833	2922
111	841	2915
112	851	2917
113	861	2917
114	872	2919
115	883	2924
116	891	2919
117	899	2911
118	905	2898
119	913	2893
120	919	2880
121	927	2875
122	938	2875
123	946	2869
124	952	2856
125	961	2852
126	966	2839
127	972	2827
128	979	2816
129	985	2804
130	992	2795
131	997	2780
132	1003	2767
133	1011	2762
134	1016	2749
135	1027	2751
136	1036	2746
137	1045	2742
138	1054	2737
139	1064	2736
140	1073	2732
141	1082	2727
142	1089	2721
143	1096	2711
144	1104	2703
145	1111	2694
146	1120	2690
147	1129	2686
148	1137	2679
149	1144	2671
150	1151	2661
151	1157	2651
152	1166	2646
153	1174	2639
154	1183	2635
155	1191	2627
156	1198	2617
157	1208	2615
158	1218	2612
159	1225	2604
160	1233	2596
161	1238	2583
162	1242	2568
163	1248	2557
164	1253	2544
165	1259	2534
166	1266	2525
167	1272	2513
168	1279	2505
169	1287	2499
170	1297	2496
171	1309	2496
172	1317	2489
173	1323	2479
174	1328	2468
175	1335	2459
176	1342	2450
177	1349	2440
178	1355	2430
179	1360	2417
180	1366	2408
181	1372	2398
182	1378	2387
183	1382	2374
184	1388	2363
185	1393	2352
186	1399	2342
187	1407	2335
188	1416	2330
189	1423	2321
190	1430	2314
191	1435	2303
192	1441	2292
193	1447	2282
194	1452	2271
195	1458	2261
196	1465	2254
197	1471	2244
198	1477	2234
199	1482	2223
200	1488	2214
201	1495	2205
202	1510	2210
203	1517	2201
204	1525	2195
205	1537	2194
206	1542	2183
207	1548	2174
208	1557	2168
209	1564	2160
210	1570	2151
211	1577	2142
212	1583	2133
213	1588	2123
214	1595	2115
215	1601	2105
216	1606	2094
217	1612	2086
218	1618	2076
219	1625	2068
220	1631	2060
221	1637	2050
222	1643	2041
223	1649	2032
224	1654	2021
225	1660	2012
226	1665	2002
227	1669	1991
228	1675	1983
229	1681	1973
230	1687	1965
231	1693	1956
232	1698	1946
233	1704	1937
234	1712	1930
235	1718	1922
236	1723	1912
237	1729	1903
238	1735	1895
239	1741	1886
240	1746	1877
241	1753	1869
242	1758	1859
243	1766	1853
244	1773	1846
245	1778	1836
246	1785	1828
247	1791	1819
248	1796	1811
249	1811	1811
250	1827	1813
251	1839	1809
252	1847	1803
253	1852	1793
254	1858	1785
255	1863	1775
256	1868	1767
257	1873	1757
258	1878	1748
259	1885	1740
260	1891	1731
261	1895	1722
262	1901	1713
263	1906	1704
264	1911	1695
265	1917	1687
266	1922	1677
267	1927	1668
268	1932	1659
269	1937	1650
270	1944	1643
271	1950	1634
272	1956	1626
273	1960	1617
274	1965	1608
275	1973	1601
276	1979	1593
277	1984	1585
278	1990	1576
279	1996	1568
280	2001	1559
281	2007	1551
282	2013	1543
283	2018	1535
284	2025	1527
285	2030	1519
286	2036	1511
287	2043	1504
288	2049	1496
289	2056	1489
290	2062	1480
291	2070	1474
292	2074	1465
293	2081	1458
294	2087	1450
295	2094	1443
296	2099	1434
297	2104	1426
298	2109	1418
299	2116	1410
300	2122	1402
301	2127	1394
302	2132	1386
303	2138	1379
304	2144	1370
305	2148	1362
306	2154	1354
307	2162	1347
308	2169	1340
309	2174	1332
310	2181	1325
311	2187	1318
312	2192	1309
313	2198	1302
314	2202	1293
315	2208	1286
316	2226	1285
317	2234	1278
318	2242	1272
319	2250	1266
320	2259	1259
321	2269	1254
322	2276	1247
323	2285	1241
324	2301	1239
325	2310	1233
326	2318	1226
327	2326	1219
328	2334	1213
329	2343	1207
330	2350	1200
331	2359	1193
332	2367	1187
333	2376	1181
334	2383	1173
335	2390	1166
336	2399	1160
337	2407	1154
338	2416	1147
339	2426	1141
340	2436	1136
341	2445	1130
342	2455	1123
343	2464	1117
344	2471	1110
345	2478	1103
346	2487	1096
347	2497	1090
348	2505	1084
349	2513	1077
350	2521	1070
351	2528	1063
352	2537	1056
353	2544	1049
354	2551	1042
355	2559	1035
356	2567	1028
357	2576	1021
358	2582	1014
359	2592	1008
360	2601	1001
361	2609	994
362	2617	987
363	2626	981
364	2633	974
365	2641	967
366	2650	960
367	2656	952
368	2664	946
369	2671	938
370	2679	931
371	2687	924
372	2695	917
373	2702	910
374	2711	903
375	2725	898
376	2737	892
377	2745	886
378	2754	879
379	2763	872
380	2772	865
381	2780	858
382	2789	852
383	2794	844
384	2800	836
385	2806	828
386	2829	826
387	2837	819
388	2846	812
389	2851	804
390	2856	796
391	2861	788
392	2867	780
393	2872	772
394	2878	765
395	2883	757
396	2889	749
397	2894	741
398	2899	733
399	2906	726
400	2913	719
401	2919	711
402	2926	704
403	2931	696
404	2937	689
405	2943	681
406	2948	673
407	2954	666
408	2960	658
409	2968	651
410	2973	643
411	2978	636
412	2983	628
413	2989	620
414	2995	613
415	3001	606
416	3007	598
417	3013	591
418	3019	583
419	3024	576
420	3031	568
421	3036	561
422	3041	553
423	3046	545
424	3052	538
425	3057	531
426	3063	523
427	3069	516
428	3074	508
429	3080	501
430	3085	493
431	3091	486
432	3097	479
433	3103	471
434	3107	464
435	3113	456
436	3118	449
437	3125	442
438	3130	434
439	3135	427
440	3140	420
441	3146	412
442	3151	405
443	3156	398
444	3162	390
445	3168	383
446	3173	376
447	3179	369
448	3184	361
449	3190	354
450	3195	347
451	3201	339
452	3206	332
453	3211	325
454	3217	318
455	3223	311
456	3229	303
457	3234	296
458	3242	289
459	3249	282
460	3257	275
461	3265	268
462	3274	261
463	3281	254
464	3289	247
465	3294	240
466	3300	233
467	3305	226
468	3310	218
469	3316	211
470	3321	204
471	3326	197
472	3333	190
473	3337	183
474	3344	176
475	3350	168
476	3356	161
477	3360	154
478	3366	147
479	3372	140
480	3377	133
481	3382	126
482	3388	119
483	3393	112
484	3398	105
485	3403	98
486	3408	90
487	3413	83
488	3419	76
489	3425	69
490	3430	62
491	3436	55
492	3441	48
493	3447	41
494	3453	34
495	3458	27
496	3463	20
497	3468	13
498	3473	6
499	3478	0
